Position,,Gregory and The Cool Kids,,Position,,Canoe and the Canoobs
5,Aurora,https://www.dotabuff.com/players/159579536 ,,5,Nephilim,https://www.dotabuff.com/players/149341481 
,,,,,,
Position,,Dog Owners,,Position,👑,No Teddy
1,Protato,https://www.dotabuff.com/players/277909210 ,,1,kU,https://www.dotabuff.com/players/37161239 
2,Aaron,https://www.dotabuff.com/players/145311265 ,,2,Leagueoflegends,https://www.dotabuff.com/players/87487190 
3,Mietore,https://www.dotabuff.com/players/179439468 ,,3,Eleven seventeen,https://www.dotabuff.com/players/54536628 
4,Staples,https://www.dotabuff.com/players/165598328 ,,4,Malefic,https://www.dotabuff.com/players/177187550 
5,Shane,https://www.dotabuff.com/players/283974166 ,,5,Kta,https://www.dotabuff.com/players/160093945 
,,,,,,
Position,, FrostFire Simps,,Position,,Whatever
1,Fume,https://www.dotabuff.com/players/19744 ,,1,Artem,https://www.dotabuff.com/players/880868638 
2,ColonelSquid,https://www.dotabuff.com/players/221883921 ,,2,DKMP,https://www.dotabuff.com/players/325688556 
3,Journey,https://www.dotabuff.com/players/89222641 ,,3,Hobbes,https://www.dotabuff.com/players/52023367 
4,Acidrain,https://www.dotabuff.com/players/104011648 ,,4,Kbrk,https://www.dotabuff.com/players/375613916 
5,Bulljaxx,https://www.dotabuff.com/players/90082776 ,,5,FOX,https://www.dotabuff.com/players/177094288 
,,,,,,
Position,,Copium Crusaders,,Position,,Pizza Happy Meal
1,Amelikar,https://www.dotabuff.com/players/199827309 ,,1,Gronaldo44,https://www.dotabuff.com/players/115917506 
2,Hana,https://www.dotabuff.com/players/79195806 ,,2,Slendy,https://www.dotabuff.com/players/106802676 
3,Kstigs,https://www.dotabuff.com/players/16460913 ,,3,Smowee,https://www.dotabuff.com/players/19571932 
4,LunchTrey,https://www.dotabuff.com/players/191158142 ,,4,Bigtime,https://www.dotabuff.com/players/45353223 
5,FunkyDealer,https://www.dotabuff.com/players/88327969 ,,5,Remedy,https://www.dotabuff.com/players/232859318 
,,,,,,
Position,,Rejects,,Position,,1st Team All Cursed
1,YouBuyWards,https://www.dotabuff.com/players/125146534 ,,1,BreezyR,https://www.dotabuff.com/players/55012505 
2,J-Minne,https://www.dotabuff.com/players/194475554 ,,2,Smiley,https://www.dotabuff.com/players/129208024 
3,Webby1313,https://www.dotabuff.com/players/121600140 ,,3,marshaL,https://www.dotabuff.com/players/158626280 
4,Choppa,https://www.dotabuff.com/players/66648223 ,,4,Vktr,https://www.dotabuff.com/players/88724922 
5,Killjoy,https://www.dotabuff.com/players/79043890 ,,5,Mortal,https://www.dotabuff.com/players/106603600 
,,,,,,
Position,,Near Team,,Position,,Anti-Meta
1,Near,https://www.dotabuff.com/players/275017084 ,,1,Karan,https://www.dotabuff.com/players/32095155 
2,MxGuire,https://www.dotabuff.com/players/173836647 ,,2,RiceCooker,https://www.dotabuff.com/players/43976568 
3,Joric,https://www.dotabuff.com/players/82626476 ,,3,Dauto,https://www.dotabuff.com/players/102680979 
4,Baboon,https://www.dotabuff.com/players/246468055 ,,4,Friendly Griefer,https://www.dotabuff.com/players/44211861 
5,Noah,https://www.dotabuff.com/players/101480791 ,,5,TypicalTN,https://www.dotabuff.com/players/447688568 
,,,,,,
Position,,60% Below Average and Very Tilted ,,Position,,5 Randoms
1,AgressivelyPMA,https://www.dotabuff.com/players/363849371 ,,1,Bloom,https://www.dotabuff.com/players/160527310 
2,Apollo,https://www.dotabuff.com/players/140052396,,2,Braebrae,https://www.dotabuff.com/players/55197649 
3,Tianyi,https://www.dotabuff.com/players/182538520 ,,3,Forth Eorlingas,https://www.dotabuff.com/players/180752114 
4,Hype,https://www.dotabuff.com/players/53071885 ,,4,Sorry,https://www.dotabuff.com/players/105389454 
5,Cb,https://www.dotabuff.com/players/48735159 ,,5,Cellomello,https://www.dotabuff.com/players/213179843 
